id,name,city,state,website,keep_id,keep_name,keep_city,keep_website,metres
2849,AJA Vineyards,Santa Monica,CA,http://ajavineyards.com/,2152,AJA Vineyards,Santa Monica,https://www.ajavineyards.com,1127
6131,Albatross Ridge Tasting Room,Carmel By The Sea,CA,http://www.albatrossridge.com,4870,Albatross Ridge Tasting Room,Carmel-by-the-Sea,http://www.albatrossridge.com/,536
5218,Amphora Winery,Healdsburg,CA,http://www.amphorawines.com,3520,Amphora Winery,Healdsburg,https://www.amphorawines.com,811
10608,Anderson's Conn Valley Vineyards,St Helena,CA,http://www.connvalleyvineyards.com/,3095,Anderson's Conn Valley Vineyards,Saint Helena,https://connvalleyvineyards.com/,260
9997,Artesa Vineyards & Winery,Napa,CA,http://www.artesawinery.com/,8253,Artesa Vineyards & Winery,Napa,artesawinery.com,583
13054,August Briggs Winery,Calistoga,CA,http://www.augustbriggswinery.com/,2733,August Briggs Winery,Calistoga,http://www.augustbriggswinery.com/,1998
13281,Bottaia Winery,Temecula,CA,http://www.bottaiawinery.com,10359,BOTTAIA Winery,Temecula,http://www.bottaiawinery.com/,496
12481,Bear Creek Winery,Lodi,CA,https://www.bearcreekwinery.net,8971,Bear Creek Winery,Lodi,http://www.bearcreekwinery.net/,574
5471,Bedrock Wine Company,Sonoma,CA,http://www.bedrockwineco.com,3975,Bedrock Wine Company,Sonoma,http://www.bedrockwineco.com,2931
14186,Biddle Ranch Vineyard,San Luis Obispo,CA,http://www.biddleranch.com/,5803,Biddle Ranch Vineyard,San Luis Obispo,http://www.biddleranch.com,650
9330,Bien Nacido vineyards,Santa Maria,CA,http://www.biennacidovineyards.com,3208,Bien Nacido Vineyards,Santa Maria,http://www.biennacidovineyards.com/,1538
10358,Big Basin Vineyards,Boulder Creek,CA,http://www.bigbasinvineyards.com,5226,Big Basin Vineyards,Boulder Creek,http://bigbasinvineyards.com,1854
5688,Bouchaine Vineyards,Napa,CA,https://www.bouchaine.com,4997,Bouchaine Vineyards,Napa,http://www.bouchaine.com,428
13390,Bougetz Cellars,St Helena,CA,http://bougetzcellars.com/,9658,Bougetz Cellars,St Helena,https://bougetzcellars.com/contact,2423
3983,Brick Barn Wine Estate,Buellton,CA,https://www.brickbarnwineestate.com/,3749,Brick Barn Wine Estate,Buellton,http://brickbarnwineestate.com/,28
8154,Broll Mountain Vineyards,Murphys,CA,http://www.brollmountainvineyards.com,1825,Broll Mountain Vineyards,Murphys,http://www.BrollWine.com/,653
6248,Byron Winery,Santa Maria,CA,https://byronwines.com,3533,Byron Winery,Santa Maria,http://www.byronwines.com,1356
13949,CaliPaso Tasting Room,Paso Robles,CA,http://calipasowinery.com/,11472,Calipaso Tasting Room,Paso Robles,https://calipasowinery.com,651
5367,Camins 2 Dreams,Lompoc,CA,https://camins2dreams.com,3534,Camins 2 Dreams,Lompoc,http://www.camins2dreams.com/,1504
11589,Cavaletto Vineyard Estate,Willow Creek,CA,https://cavalettovineyardestate.com/,610,Cavaletto Vineyard Estate,Salyer,http://cavalettovineyardestate.com/,2200
11824,Cayucos Cellars,Cambria,CA,http://www.cayucoscellars.com,6250,Cayucos Cellars,Cambria,http://www.cayucoscellars.com/,1395
13289,Chamisal Vineyards,San Luis Obispo,CA,http://www.chamisalvineyards.com,3536,Chamisal Vineyards,San Luis Obispo,http://www.chamisalvineyards.com,689
6901,Chateau St. Jean Winery,Kenwood,CA,https://www.chateaustjean.com/,1624,Chateau St Jean Winery,Kenwood,https://www.chateaustjean.com,793
5240,Chimney Rock Winery,Napa,CA,https://www.terlatowines.com,3754,Chimney Rock Winery,Napa,http://www.chimneyrock.com/,877
10494,Chimney Rock Winery,Napa,CA,http://www.chimneyrock.com/,3754,Chimney Rock Winery,Napa,http://www.chimneyrock.com/,769
6905,Cook Family Winery,Saint Helena,CA,http://www.cookwinery.com,5484,Cook Family Winery,St Helena,www.cookwinery.com,682
3880,Cornell Vineyards,Santa Rosa,CA,http://www.cornellvineyards.com/,950,Cornell Vineyards,Santa Rosa,www.cornellvineyards.com,1012
3325,De Portola Wine Trail,Temecula,CA,,10957,De Portola Wine Trail,Temecula,http://deportolawinetrail.com/,1229
8393,Dehlinger Winery,Sebastopol,CA,www.dehlingerwinery.com,2636,Dehlinger Winery,Sebastopol,http://www.dehlingerwinery.com,626
3545,Del Dotto Estate Winery & Caves,St Helena,CA,,6365,Del Dotto Estate Winery & Caves,St Helena,http://www.deldottovineyards.com/,1749
12042,Del Dotto Winery,Napa,CA,,13297,Del Dotto Winery,Napa,https://www.beauwinetours.com/.../wineries/del-dotto-vineyards,1839
1075,Diamond Creek Vineyards,Calistoga,CA,,3762,Diamond Creek Vineyards,Calistoga,http://www.diamondcreekvineyards.com/,157
9110,Dobra Zemlja Winery,Plymouth,CA,https://www.dobraz.com/,1635,Dobra Zemlja Winery,Plymouth,https://www.dobraz.com/,602
7583,Dubost Winery,Paso Robles,CA,https://www.dubostwine.com,2063,Dubost Winery,Paso Robles,http://www.dubostwine.com/,746
7143,Dutcher Crossing Winery,Healdsburg,CA,http://www.dutchercrossingwinery.com,3229,Dutcher Crossing Winery,Geyserville,http://www.dutchercrossingwinery.com,2918
14405,Dutcher Crossing Winery,Geyserville,CA,http://dutchercrossingwinery.com,3229,Dutcher Crossing Winery,Geyserville,http://www.dutchercrossingwinery.com,1016
10148,E & J Gallo Winery,Modesto,CA,http://ejgallo.com,3548,E. & J. Gallo Winery,Modesto,http://gallo.com,2415
10265,E & J Gallo Winery,Modesto,CA,http://gallo.com,3548,E. & J. Gallo Winery,Modesto,http://gallo.com,529
12643,Far Niente Winery,Napa,CA,http://www.farniente.com,8776,Far Niente Winery,Oakville,http://www.farniente.com,2583
7020,Fasi Estate Winery,Madera,CA,www.fasiestate.com,5500,Fasi Estate Winery,Friant,http://www.fasiestate.com/,889
7251,Filipponi Ranch,San Luis Obispo,CA,http://www.filipponiranch.com/,6478,Filipponi Ranch,San Luis Obispo,https://filipponiranch.com,587
11494,Flanagan Wines,Healdsburg,CA,https://www.flanaganwines.com,6160,Flanagan Wines,Healdsburg,http://www.flanaganwines.com/,487
13850,Fort Ross Vineyard Tasting Room,Jenner,CA,www.fortrossvineyard.com,4133,Fort Ross Vineyard Tasting Room,Jenner,http://www.fortrossvineyard.com/,581
1649,Golden State Vintners,Fresno,CA,,1091,Golden State Vintners,Fresno,http://vinarium-usa.com,324
11088,Granite Lion Cellars,Jamul,CA,http://www.granitelioncellars.com/,4913,Granite Lion Cellars,Jamul,http://www.granitelioncellars.com/,1059
11614,Handwritten Wines,Yountville,CA,https://handwrittenwines.com/store/index.cfm?fuseaction=view,11304,Handwritten Wines,Yountville,http://www.handwrittenwines.com/,878
4575,Harmony Cellars,Harmony,CA,http://www.harmonycellars.com,509,Harmony Cellars,Harmony,http://www.harmonycellars.com/,565
10978,Highland Valley Vineyards,Escondido,CA,https://www.highlandvalleyvineyards.com/,9696,Highland Valley Vineyards,Escondido,https://www.highlandvalleyvineyards.com,588
13991,Hindsight Wines,Calistoga,CA,http://www.hindsightwines.com/,11502,Hindsight Wines,Calistoga,http://hindsightwines-hub.com,1875
8907,Iron Oaks Winery,Paso Robles,CA,https://ironoakswinery.com,2540,Iron Oaks Winery,Paso Robles,https://www.ironoakswinery.com,149
11506,J Dusi Wines,Paso Robles,CA,http://www.jdusiwines.com/,8654,J Dusi Wines,Paso Robles,http://www.jdusiwines.com/,761
12409,Joel Gott Wines,St Helena,CA,http://www.gottwines.com,11197,Joel Gott Wines,St Helena,http://gottwines.com,565
13212,Johnson Family Vineyards,Healdsburg,CA,https://johnson-s-alexander-valley-wines.hub.biz/,5962,Johnson Family Vineyards,Healdsburg,http://www.johnsonavwines.com,1396
6291,Joseph Phelps Vineyards,Saint Helena,CA,www.josephphelps.com,6177,Joseph Phelps Vineyards,St Helena,http://www.josephphelps.com/,688
13096,Keplinger Wines,Napa,CA,https://www.keplingerwines.com,12158,Keplinger Wines,Napa,http://www.keplingerwines.com,2011
13216,Live Vine Vineyard & Winery,Oroville,CA,http://livevinewines.com,13097,LIVE VINE Vineyard & Winery,Oroville,http://LiveVineWines.com/,621
10867,La Cienega Vineyard,Healdsburg,CA,https://www.lacienegavineyard.com/,2212,La Cienega Vineyard,Healdsburg,https://www.lacienegavineyard.com/,875
11622,Laguna Canyon Winery,Laguna Beach,CA,http://www.lagunacanyonwinery.com/,9485,Laguna Canyon Winery,Laguna Beach,http://www.lagunacanyonwinery.com,2164
12271,Laurel Glen Vineyard,Glen Ellen,CA,http://www.laurelglen.com,10645,Laurel Glen Vineyard,Glen Ellen,http://laurelglen.com/,288
7268,Law Estate Wines,Paso Robles,CA,http://www.lawestatewines.com/,1328,Law Estate Wines,Paso Robles,lawestatewines.com,578
10058,Law Estate Wines,Paso Robles,CA,http://www.lawestatewines.com,1328,Law Estate Wines,Paso Robles,lawestatewines.com,906
11212,Locatelli Vineyards & Winery,San Miguel,CA,http://www.locatelliwinery.com/,3021,Locatelli Vineyards & Winery,San Miguel,http://www.locatelliwinery.com/,469
4703,Locke Vineyards,Murphys,CA,http://www.lockevineyards.com/,647,Locke Vineyards,Murphys,http://www.lockevineyards.com,1734
